index,Ruído Global,Varejo,Transporte,Residencial
-100 a -90%,0.0,0.0,0.0,0.0
-90 a -80%,0.0,0.0,0.0,0.0
-80 a -70%,0.0,0.14678899082568808,0.0,0.0
-70 a -60%,0.06422018348623854,0.23853211009174313,0.3211009174311927,0.0
-60 a -50%,0.25688073394495414,0.12844036697247707,0.30275229357798167,0.0
-50 a -40%,0.13761467889908258,0.11009174311926606,0.03669724770642202,0.0
-40 a -30%,0.1743119266055046,0.045871559633027525,0.03669724770642202,0.0
-30 a -20%,0.045871559633027525,0.07339449541284404,0.06422018348623854,0.0
-20 a -10%,0.07339449541284404,0.03669724770642202,0.027522935779816515,0.0
-10 a 0%,0.01834862385321101,0.10091743119266056,0.09174311926605505,0.0
0 a 10%,0.027522935779816515,0.11926605504587157,0.11926605504587157,0.30275229357798167
10 a 20%,0.2018348623853211,0.0,0.0,0.4036697247706422
20 a 30%,0.0,0.0,0.0,0.29357798165137616
30 a 40%,0.0,0.0,0.0,0.0
40 a 50%,0.0,0.0,0.0,0.0
50 a 60%,0.0,0.0,0.0,0.0
Total,1.0,1.0000000000000002,1.0,1.0
